,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
370,13,Michael,Mancienne,eng ENG,DF,New England Revolution,31.0,1988.0,16.0,13.0,1191.0,1.0,0.0,0.0,0.0,5.0,1.0
371,11,Carter,Manley,us USA,DF,Minnesota United,22.0,1996.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
372,6,Kekuta,Manneh,us USA,"FW,MF",FC Cincinnati,24.0,1994.0,27.0,15.0,1499.0,4.0,3.0,0.0,0.0,0.0,1.0
373,11,Vito,Mannone,it ITA,GK,Minnesota United,30.0,1988.0,34.0,34.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0
374,8,Mauro,Manotas,co COL,FW,Houston Dynamo,23.0,1995.0,32.0,28.0,2530.0,13.0,7.0,1.0,2.0,1.0,0.0
375,20,Paul,Marie,fr FRA,DF,San Jose Earthquakes,23.0,1995.0,9.0,3.0,349.0,0.0,1.0,0.0,0.0,1.0,0.0
376,21,Chad,Marshall,us USA,DF,Seattle Sounders FC,34.0,1984.0,8.0,8.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0
377,11,Collin,Martin,us USA,MF,Minnesota United,24.0,1994.0,3.0,2.0,184.0,0.0,1.0,0.0,0.0,0.0,0.0
378,2,Cristian,Martínez,pa PAN,"MF,FW",Chicago Fire,21.0,1997.0,5.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
379,19,Douglas,Martinez,hn HON,FW,Real Salt Lake,21.0,1997.0,1.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
380,1,Josef,Martínez,ve VEN,FW,Atlanta United,25.0,1993.0,29.0,29.0,2578.0,27.0,3.0,5.0,6.0,1.0,0.0
381,8,Tomás,Martínez,ar ARG,"MF,FW",Houston Dynamo,23.0,1995.0,33.0,30.0,2313.0,5.0,2.0,0.0,0.0,2.0,0.0
382,22,Luís,Martins,pt POR,DF,Sporting Kansas City,26.0,1992.0,10.0,9.0,830.0,0.0,0.0,0.0,0.0,2.0,0.0
383,14,Rónald,Matarrita,cr CRC,DF,New York City FC,24.0,1994.0,24.0,24.0,1973.0,1.0,1.0,0.0,0.0,7.0,1.0
384,6,Darren,Mattocks,jm JAM,FW,FC Cincinnati,28.0,1990.0,21.0,13.0,1273.0,3.0,3.0,1.0,1.0,0.0,0.0
385,7,Jimmy,Maurer,us USA,GK,FC Dallas,30.0,1988.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
386,23,Chris,Mavinga,cd COD,DF,Toronto FC,27.0,1991.0,26.0,24.0,2112.0,0.0,1.0,0.0,0.0,5.0,0.0
387,17,Olivier,Mbaissidara,cm CMR,DF,Philadelphia Union,21.0,1997.0,3.0,2.0,196.0,0.0,1.0,0.0,0.0,0.0,0.0
388,6,Thomas,McCabe,us USA,MF,FC Cincinnati,20.0,1998.0,6.0,2.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0
390,5,Chris,McCann,ie IRL,"DF,MF",DC United,31.0,1987.0,6.0,4.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0
391,2,Dax,McCarty,us USA,MF,Chicago Fire,31.0,1987.0,32.0,32.0,2846.0,1.0,2.0,0.0,0.0,4.0,0.0
392,24,Brendan,McDonough,us USA,DF,Vancouver Whitecaps,22.0,1996.0,1.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
393,17,Mark,McKenzie,us USA,DF,Philadelphia Union,19.0,1999.0,7.0,6.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0
394,8,Thomas,McNamara,us USA,"MF,FW",Houston Dynamo,27.0,1991.0,33.0,15.0,1540.0,2.0,3.0,0.0,0.0,3.0,0.0
395,15,Ryan,Meara,us USA,GK,New York Red Bulls,28.0,1990.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
396,14,Jesús,Medina,py PAR,"MF,FW",New York City FC,21.0,1997.0,18.0,6.0,734.0,3.0,1.0,1.0,1.0,1.0,0.0
397,22,Jimmy,Medranda,co COL,"FW,MF",Sporting Kansas City,24.0,1994.0,10.0,2.0,183.0,0.0,1.0,0.0,0.0,1.0,0.0
398,17,Haris,Medunjanin,ba BIH,MF,Philadelphia Union,33.0,1985.0,34.0,34.0,3060.0,1.0,4.0,0.0,0.0,6.0,0.0
399,18,Lucas,Melano,ar ARG,FW,Portland Timbers,25.0,1993.0,8.0,1.0,127.0,0.0,0.0,0.0,0.0,1.0,0.0
400,22,Tim,Melia,us USA,GK,Sporting Kansas City,32.0,1986.0,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,3.0,0.0
401,16,Jhegson,Méndez,ec ECU,MF,Orlando City SC,21.0,1997.0,22.0,20.0,1787.0,0.0,0.0,0.0,0.0,7.0,0.0
402,4,Jonathan,Mensah,gh GHA,DF,Columbus Crew,28.0,1990.0,24.0,23.0,2152.0,0.0,0.0,0.0,0.0,7.0,0.0
403,1,Justin,Meram,iq IRQ,"DF,FW",Atlanta United,30.0,1988.0,20.0,14.0,1265.0,4.0,0.0,0.0,0.0,3.0,0.0
404,4,Justin,Meram,iq IRQ,FW,Columbus Crew,30.0,1988.0,9.0,4.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0
405,11,Romain,Métanire,mg MAD,DF,Minnesota United,28.0,1990.0,27.0,27.0,2430.0,1.0,4.0,0.0,0.0,5.0,0.0
406,3,Nicolás,Mezquida,uy URU,"MF,FW",Colorado Rapids,27.0,1992.0,32.0,11.0,1418.0,4.0,3.0,1.0,1.0,4.0,0.0
407,16,Benji,Michel,ht HAI,"FW,MF",Orlando City SC,21.0,1997.0,17.0,9.0,947.0,5.0,1.0,0.0,0.0,0.0,0.0
408,2,Djordje,Mihailovic,us USA,MF,Chicago Fire,20.0,1998.0,27.0,16.0,1450.0,3.0,1.0,0.0,0.0,4.0,0.0
409,14,Eric,Miller,us USA,DF,New York City FC,26.0,1993.0,5.0,4.0,328.0,0.0,0.0,0.0,0.0,2.0,0.0
410,11,Eric,Miller,us USA,DF,Minnesota United,26.0,1993.0,6.0,5.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0
411,16,Kamal,Miller,ca CAN,DF,Orlando City SC,21.0,1997.0,16.0,14.0,1350.0,0.0,0.0,0.0,0.0,1.0,0.0
412,10,Tyler,Miller,us USA,GK,LAFC,25.0,1993.0,28.0,28.0,2520.0,0.0,0.0,0.0,0.0,1.0,0.0
413,14,Alexandru,Mitriță,ro ROU,"FW,MF",New York City FC,23.0,1995.0,29.0,24.0,2127.0,12.0,2.0,0.0,0.0,2.0,0.0
414,11,Wilfried,Moimbé,fr FRA,"DF,FW",Minnesota United,30.0,1988.0,4.0,4.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0
416,4,Youness,Mokhtar,ma MAR,FW,Columbus Crew,27.0,1991.0,8.0,5.0,440.0,1.0,0.0,0.0,0.0,1.0,0.0
417,11,Kevin,Molino,tt TRI,"FW,MF",Minnesota United,28.0,1990.0,17.0,11.0,907.0,3.0,4.0,0.0,0.0,1.0,0.0
418,10,Mohamed,El Monir,ly LBY,DF,LAFC,26.0,1992.0,15.0,4.0,590.0,1.0,0.0,0.0,0.0,2.0,0.0
419,17,Jamiro,Monteiro,cv CPV,MF,Philadelphia Union,25.0,1993.0,26.0,22.0,2049.0,4.0,7.0,2.0,3.0,3.0,0.0
420,24,Fredy,Montero,co COL,"FW,MF",Vancouver Whitecaps,31.0,1987.0,32.0,22.0,2096.0,8.0,2.0,4.0,4.0,1.0,1.0
421,23,Drew,Moor,us USA,DF,Toronto FC,35.0,1984.0,13.0,11.0,1024.0,0.0,0.0,0.0,0.0,2.0,0.0
422,5,Joseph,Mora,cr CRC,DF,DC United,26.0,1993.0,20.0,18.0,1594.0,0.0,1.0,0.0,0.0,3.0,0.0
423,14,Maximiliano,Moralez,ar ARG,"MF,FW",New York City FC,31.0,1987.0,29.0,28.0,2431.0,7.0,12.0,4.0,8.0,7.0,0.0
424,18,Jorge,Moreira,py PAR,DF,Portland Timbers,28.0,1990.0,26.0,25.0,2231.0,2.0,2.0,0.0,0.0,7.0,0.0
425,2,Amando,Moreno,us USA,"FW,MF",Chicago Fire,23.0,1995.0,7.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
426,5,Junior,Moreno,ve VEN,MF,DC United,25.0,1993.0,29.0,29.0,2549.0,0.0,2.0,0.0,0.0,3.0,1.0
427,23,Ashtone,Morgan,ca CAN,"DF,MF",Toronto FC,27.0,1991.0,9.0,3.0,313.0,1.0,0.0,0.0,0.0,1.0,0.0
428,21,Jordan,Morris,us USA,FW,Seattle Sounders FC,24.0,1994.0,26.0,24.0,2036.0,10.0,6.0,0.0,0.0,2.0,0.0
429,23,Justin,Morrow,us USA,DF,Toronto FC,31.0,1987.0,28.0,26.0,2348.0,1.0,3.0,0.0,0.0,2.0,1.0
430,16,João,Moutinho,pt POR,DF,Orlando City SC,21.0,1998.0,16.0,15.0,1220.0,0.0,2.0,0.0,0.0,1.0,0.0
431,16,Christopher,Mueller,us USA,"FW,MF",Orlando City SC,22.0,1996.0,29.0,16.0,1370.0,5.0,3.0,0.0,0.0,1.0,0.0
432,24,Georges,Mukumbilwa,ca CAN,MF,Vancouver Whitecaps,19.0,1999.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
433,19,Luke,Mulholland,eng ENG,MF,Real Salt Lake,30.0,1988.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
434,23,Patrick,Mullins,us USA,FW,Toronto FC,26.0,1992.0,8.0,4.0,348.0,2.0,0.0,0.0,0.0,0.0,0.0
435,4,Patrick,Mullins,us USA,"FW,MF",Columbus Crew,26.0,1992.0,9.0,2.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
436,15,Alex,Muyl,us USA,"FW,DF",New York Red Bulls,23.0,1995.0,24.0,17.0,1398.0,3.0,2.0,0.0,0.0,4.0,0.0
437,1,Darlington,Nagbe,us USA,MF,Atlanta United,28.0,1990.0,33.0,32.0,2822.0,2.0,4.0,0.0,0.0,2.0,0.0
438,16,Nani,,pt POR,"FW,MF",Orlando City SC,32.0,1986.0,30.0,26.0,2273.0,12.0,5.0,3.0,5.0,4.0,0.0
439,15,Sean,Nealis,us USA,DF,New York Red Bulls,22.0,1997.0,9.0,3.0,457.0,1.0,0.0,0.0,0.0,1.0,0.0
440,7,John,Nelson,us USA,DF,FC Dallas,20.0,1998.0,9.0,4.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0
442,22,Krisztián,Németh,hu HUN,FW,Sporting Kansas City,30.0,1989.0,24.0,18.0,1559.0,8.0,2.0,0.0,1.0,5.0,1.0
443,24,Jake,Nerwinski,us USA,DF,Vancouver Whitecaps,24.0,1994.0,26.0,24.0,2021.0,1.0,0.0,0.0,0.0,1.0,0.0
444,17,Michee,Ngalina,cd COD,"FW,MF",Philadelphia Union,18.0,2000.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
445,10,Lee,Nguyen,us USA,MF,LAFC,32.0,1986.0,23.0,11.0,1178.0,0.0,4.0,0.0,0.0,3.0,0.0
446,3,Sam,Nicholson,sco SCO,"FW,MF",Colorado Rapids,24.0,1995.0,27.0,19.0,1770.0,2.0,3.0,0.0,0.0,2.0,0.0
447,1,Gonzalo,Nicolás Martínez,ar ARG,"FW,MF",Atlanta United,25.0,1993.0,32.0,26.0,2140.0,5.0,7.0,2.0,3.0,2.0,0.0
448,2,Nemanja,Nikolić,hu HUN,FW,Chicago Fire,31.0,1987.0,31.0,25.0,1991.0,12.0,0.0,2.0,2.0,3.0,0.0
449,12,Harry,Novillo,fr FRA,FW,Montreal Impact,26.0,1992.0,11.0,5.0,441.0,1.0,2.0,0.0,0.0,1.0,0.0
450,16,Shane,O'Neill,us USA,DF,Orlando City SC,25.0,1993.0,11.0,8.0,839.0,0.0,0.0,0.0,0.0,2.0,0.0
451,21,Alfonso,Ocampo-Chavez,us USA,FW,Seattle Sounders FC,16.0,2002.0,3.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
452,5,Chris,Odoi-Atsem,us USA,DF,DC United,23.0,1995.0,3.0,1.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
453,14,Ebenezer,Ofori,gh GHA,MF,New York City FC,23.0,1995.0,20.0,14.0,1261.0,2.0,0.0,0.0,0.0,2.0,0.0
454,12,Orji,Okwonkwo,ng NGA,"FW,MF",Montreal Impact,21.0,1998.0,28.0,24.0,1769.0,8.0,2.0,0.0,0.0,4.0,0.0
455,11,Lawrence,Olum,ke KEN,MF,Minnesota United,34.0,1984.0,10.0,5.0,547.0,0.0,1.0,0.0,0.0,0.0,0.0
456,7,Zdeněk,Ondrášek,cz CZE,FW,FC Dallas,30.0,1988.0,18.0,8.0,751.0,7.0,2.0,0.0,0.0,2.0,0.0
457,19,Nedum,Onuoha,eng ENG,DF,Real Salt Lake,32.0,1986.0,27.0,26.0,2336.0,1.0,0.0,0.0,0.0,2.0,0.0
458,11,Ike,Opara,us USA,DF,Minnesota United,29.0,1989.0,30.0,29.0,2566.0,3.0,1.0,0.0,0.0,4.0,0.0
459,3,Kofi,Opare,ca CAN,DF,Colorado Rapids,28.0,1990.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
460,23,Jonathan,Osorio,ca CAN,"MF,FW",Toronto FC,26.0,1992.0,24.0,18.0,1757.0,5.0,3.0,0.0,1.0,2.0,0.0
461,2,David,Ousted,dk DEN,GK,Chicago Fire,33.0,1985.0,14.0,14.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0
462,14,Juan,Pablo Torres,us USA,FW,New York City FC,19.0,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
463,10,Diego,Palacios,ec ECU,DF,LAFC,19.0,1999.0,2.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
464,18,Cristhian,Paredes,py PAR,MF,Portland Timbers,20.0,1998.0,22.0,19.0,1647.0,4.0,2.0,0.0,0.0,2.0,0.0
465,15,Tim,Parker,us USA,DF,New York Red Bulls,25.0,1993.0,31.0,26.0,2388.0,0.0,0.0,0.0,0.0,5.0,1.0
466,1,Michael,Parkhurst,us USA,DF,Atlanta United,35.0,1984.0,20.0,15.0,1444.0,0.0,0.0,0.0,0.0,3.0,0.0
468,14,Keaton,Parks,us USA,MF,New York City FC,21.0,1997.0,22.0,14.0,1322.0,1.0,1.0,0.0,0.0,3.0,0.0
469,20,Kevin,Partida,us USA,FW,San Jose Earthquakes,23.0,1995.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
470,16,Santiago,Patiño,us USA,FW,Orlando City SC,21.0,1997.0,11.0,3.0,328.0,2.0,1.0,0.0,0.0,1.0,0.0
471,9,Cristian,Pavón,ar ARG,FW,LA Galaxy,23.0,1996.0,11.0,11.0,971.0,3.0,4.0,0.0,0.0,1.0,0.0
472,24,PC,,br BRA,"FW,DF",Vancouver Whitecaps,24.0,1994.0,18.0,9.0,814.0,0.0,1.0,0.0,0.0,4.0,0.0
473,5,Marquinhos,Pedroso,br BRA,DF,DC United,25.0,1993.0,4.0,3.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
474,7,Marquinhos,Pedroso,br BRA,DF,FC Dallas,25.0,1993.0,2.0,1.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
475,8,Ronaldo,Peña,ve VEN,"FW,MF",Houston Dynamo,21.0,1997.0,4.0,2.0,159.0,0.0,0.0,0.0,0.0,3.0,0.0
476,13,Cristian,Penilla,ec ECU,"MF,FW",New England Revolution,27.0,1991.0,30.0,18.0,1784.0,6.0,5.0,0.0,0.0,2.0,0.0
477,7,Ricardo,Pepi,us USA,"MF,FW",FC Dallas,16.0,2003.0,7.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
478,1,Dion,Pereira,eng ENG,"FW,DF",Atlanta United,19.0,1999.0,18.0,7.0,671.0,0.0,1.0,0.0,0.0,0.0,0.0
479,16,Mauricio,Pereyra,uy URU,"MF,FW",Orlando City SC,28.0,1990.0,6.0,5.0,392.0,0.0,2.0,0.0,0.0,1.0,0.0
480,10,Adrien,Perez,us USA,FW,LAFC,23.0,1995.0,12.0,1.0,215.0,1.0,0.0,0.0,0.0,0.0,0.0
481,10,Javier,Pérez,es ESP,MF,LAFC,22.0,1996.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
482,10,Joshua,Pérez,us USA,"FW,MF",LAFC,21.0,1998.0,13.0,4.0,457.0,1.0,1.0,0.0,0.0,0.0,0.0
483,12,Ignacio,Piatti,ar ARG,FW,Montreal Impact,33.0,1985.0,11.0,9.0,754.0,3.0,1.0,0.0,0.0,1.0,0.0
484,17,Fafà,Picault,us USA,FW,Philadelphia Union,27.0,1991.0,32.0,21.0,1862.0,4.0,4.0,0.0,0.0,4.0,0.0
485,12,Samuel,Piette,ca CAN,MF,Montreal Impact,24.0,1994.0,25.0,25.0,2219.0,0.0,0.0,0.0,0.0,6.0,0.0
486,5,Donovan,Pines,us USA,DF,DC United,20.0,1998.0,10.0,9.0,785.0,0.0,1.0,0.0,0.0,1.0,0.0
487,19,Joao,Plata,ec ECU,"FW,MF",Real Salt Lake,26.0,1992.0,17.0,2.0,317.0,1.0,0.0,1.0,1.0,0.0,0.0
488,1,Florentin,Pogba,gn GUI,DF,Atlanta United,28.0,1990.0,13.0,8.0,783.0,0.0,0.0,0.0,0.0,2.0,0.0
489,9,Diego,Polenta,uy URU,DF,LA Galaxy,26.0,1992.0,28.0,28.0,2519.0,1.0,2.0,0.0,0.0,10.0,1.0
490,18,Andy,Polo,pe PER,"MF,FW",Portland Timbers,24.0,1994.0,19.0,12.0,1047.0,0.0,1.0,0.0,0.0,1.0,0.0
491,7,Paxton,Pomykal,us USA,MF,FC Dallas,19.0,1999.0,25.0,20.0,1878.0,2.0,2.0,0.0,0.0,4.0,0.0
492,9,Chris,Pontius,us USA,FW,LA Galaxy,31.0,1987.0,18.0,6.0,703.0,2.0,2.0,0.0,0.0,0.0,0.0
494,19,Justin,Portillo,us USA,MF,Real Salt Lake,26.0,1992.0,4.0,2.0,194.0,0.0,0.0,0.0,0.0,1.0,1.0
495,6,Alvas,Powell,jm JAM,DF,FC Cincinnati,24.0,1994.0,13.0,10.0,969.0,0.0,0.0,0.0,0.0,1.0,0.0
496,16,Dillon,Powers,us USA,MF,Orlando City SC,27.0,1991.0,7.0,7.0,619.0,0.0,1.0,0.0,0.0,0.0,0.0
497,23,Alejandro,Pozuelo,es ESP,"MF,FW",Toronto FC,27.0,1991.0,30.0,28.0,2518.0,12.0,7.0,5.0,6.0,5.0,1.0
498,3,Jack,Price,eng ENG,MF,Colorado Rapids,26.0,1992.0,27.0,25.0,2226.0,1.0,10.0,0.0,0.0,9.0,1.0
499,17,Kacper,Przybyłko,pl POL,FW,Philadelphia Union,25.0,1993.0,26.0,25.0,2241.0,15.0,4.0,0.0,1.0,5.0,0.0
500,19,Andrew,Putna,us USA,GK,Real Salt Lake,24.0,1994.0,5.0,5.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0
501,20,Valeri,Qazaishvili,ge GEO,"FW,MF",San Jose Earthquakes,26.0,1993.0,32.0,24.0,2094.0,8.0,5.0,0.0,0.0,1.0,0.0
502,11,Darwin,Quintero,co COL,"MF,FW",Minnesota United,31.0,1987.0,30.0,26.0,2197.0,10.0,5.0,3.0,4.0,5.0,0.0
503,8,Romell,Quioto,hn HON,FW,Houston Dynamo,27.0,1991.0,18.0,8.0,796.0,2.0,2.0,1.0,1.0,5.0,1.0
504,12,Jukka,Raitala,fi FIN,DF,Montreal Impact,30.0,1988.0,26.0,23.0,2084.0,0.0,0.0,0.0,0.0,2.0,0.0
505,10,Christian,Ramirez,us USA,FW,LAFC,27.0,1991.0,17.0,13.0,948.0,4.0,2.0,0.0,0.0,0.0,0.0
506,8,Christian,Ramirez,us USA,"FW,MF",Houston Dynamo,27.0,1991.0,10.0,7.0,674.0,5.0,1.0,0.0,0.0,0.0,0.0
507,16,Greg,Ranjitsingh,tt TRI,GK,Orlando City SC,25.0,1993.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
508,17,Matthew,Real,us USA,"DF,MF",Philadelphia Union,19.0,1999.0,3.0,1.0,68.0,0.0,1.0,0.0,0.0,1.0,0.0
509,1,Eric,Remedi,ar ARG,MF,Atlanta United,23.0,1995.0,28.0,25.0,2050.0,0.0,1.0,0.0,0.0,6.0,0.0
510,13,Justin,Rennicks,us USA,FW,New England Revolution,19.0,1999.0,2.0,1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
511,24,Yordy,Reyna,pe PER,"FW,MF",Vancouver Whitecaps,25.0,1993.0,25.0,22.0,1988.0,7.0,1.0,0.0,1.0,5.0,0.0
512,7,Bryan,Reynolds,us USA,"FW,DF",FC Dallas,17.0,2001.0,10.0,1.0,119.0,0.0,1.0,0.0,0.0,0.0,0.0
513,6,Spencer,Richey,us USA,GK,FC Cincinnati,26.0,1992.0,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,1.0,0.0
514,24,Tosaint,Ricketts,ca CAN,FW,Vancouver Whitecaps,31.0,1987.0,8.0,6.0,479.0,1.0,1.0,0.0,0.0,1.0,0.0
515,19,Nick,Rimando,us USA,GK,Real Salt Lake,39.0,1979.0,29.0,29.0,2610.0,0.0,0.0,0.0,0.0,1.0,0.0
516,14,Alexander,Ring,fi FIN,MF,New York City FC,27.0,1991.0,31.0,31.0,2790.0,4.0,4.0,0.0,0.0,12.0,0.0
517,20,Andrés,Ríos,ar ARG,"MF,FW",San Jose Earthquakes,29.0,1989.0,10.0,1.0,270.0,1.0,0.0,0.0,0.0,1.0,0.0
518,7,Thomas,Roberts,us USA,"MF,FW",FC Dallas,17.0,2001.0,6.0,3.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0
520,4,Robinho,,br BRA,FW,Columbus Crew,24.0,1995.0,19.0,13.0,1112.0,0.0,2.0,0.0,0.0,0.0,0.0
521,16,Robinho,,br BRA,FW,Orlando City SC,24.0,1995.0,6.0,3.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0
522,5,Jalen,Robinson,us USA,DF,DC United,24.0,1994.0,10.0,5.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
523,1,Miles,Robinson,us USA,DF,Atlanta United,21.0,1997.0,34.0,33.0,2979.0,0.0,0.0,0.0,0.0,4.0,0.0
524,15,Luis,Robles,us USA,GK,New York Red Bulls,34.0,1984.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,4.0,0.0
525,14,Tony,Rocha,bz BLZ,"MF,DF",New York City FC,25.0,1993.0,17.0,9.0,876.0,0.0,0.0,0.0,0.0,1.0,0.0
526,11,Angelo,Rodríguez,co COL,FW,Minnesota United,29.0,1989.0,28.0,21.0,1745.0,5.0,1.0,1.0,1.0,2.0,0.0
527,10,Brian,Rodríguez,uy URU,FW,LAFC,18.0,2000.0,7.0,5.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0
528,5,Lucas,Rodríguez,ar ARG,"FW,MF",DC United,21.0,1997.0,33.0,31.0,2699.0,6.0,3.0,0.0,0.0,5.0,0.0
529,8,Memo,Rodriguez,us USA,"FW,MF",Houston Dynamo,23.0,1995.0,26.0,16.0,1387.0,7.0,2.0,0.0,0.0,3.0,0.0
530,21,Víctor,Rodríguez,es ESP,"FW,MF",Seattle Sounders FC,29.0,1989.0,17.0,14.0,1117.0,2.0,3.0,1.0,1.0,1.0,0.0
531,21,Alex,Roldan,us USA,"FW,MF",Seattle Sounders FC,22.0,1996.0,9.0,5.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0
532,21,Cristian,Roldan,us USA,"MF,FW",Seattle Sounders FC,23.0,1995.0,29.0,29.0,2537.0,6.0,3.0,0.0,0.0,4.0,1.0
533,9,David,Romney,us USA,DF,LA Galaxy,25.0,1993.0,12.0,10.0,928.0,0.0,1.0,0.0,0.0,0.0,0.0
534,4,Eloy,Room,cw CUW,GK,Columbus Crew,29.0,1989.0,12.0,12.0,1080.0,0.0,0.0,0.0,0.0,1.0,0.0
535,5,Wayne,Rooney,eng ENG,FW,DC United,33.0,1985.0,28.0,27.0,2313.0,11.0,7.0,4.0,4.0,5.0,2.0
536,24,Andy,Rose,au AUS,"MF,DF",Vancouver Whitecaps,28.0,1990.0,24.0,20.0,1851.0,1.0,1.0,0.0,0.0,2.0,0.0
537,16,Oriol,Rosell,es ESP,MF,Orlando City SC,26.0,1992.0,20.0,16.0,1466.0,0.0,0.0,0.0,0.0,6.0,0.0
538,3,Keegan,Rosenberry,us USA,DF,Colorado Rapids,25.0,1993.0,34.0,34.0,3060.0,1.0,3.0,0.0,0.0,3.0,0.0
539,10,Diego,Rossi,uy URU,FW,LAFC,20.0,1998.0,34.0,33.0,2891.0,16.0,6.0,0.0,0.0,2.0,0.0
540,16,Brian,Rowe,us USA,GK,Orlando City SC,30.0,1988.0,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,1.0,0.0
541,22,Kelyn,Rowe,us USA,"FW,MF",Sporting Kansas City,27.0,1991.0,14.0,7.0,693.0,0.0,1.0,0.0,0.0,2.0,0.0
542,19,Kelyn,Rowe,us USA,MF,Real Salt Lake,27.0,1991.0,4.0,2.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
543,15,Daniel,Royer,at AUT,FW,New York Red Bulls,28.0,1990.0,31.0,26.0,2314.0,11.0,6.0,4.0,5.0,1.0,0.0
544,16,Ruan,,br BRA,DF,Orlando City SC,23.0,1995.0,25.0,23.0,2097.0,0.0,4.0,0.0,0.0,1.0,0.0
546,3,Diego,Rubio,cl CHI,"MF,FW",Colorado Rapids,25.0,1993.0,26.0,25.0,2054.0,11.0,4.0,0.0,0.0,10.0,1.0
547,21,Raúl,Ruidíaz,pe PER,FW,Seattle Sounders FC,28.0,1990.0,22.0,20.0,1793.0,11.0,2.0,0.0,0.0,0.0,0.0
548,19,Albert,Rusnák,sk SVK,"MF,FW",Real Salt Lake,24.0,1994.0,29.0,28.0,2450.0,10.0,3.0,4.0,5.0,2.0,0.0
549,22,Johnny,Russell,sco SCO,"FW,MF",Sporting Kansas City,28.0,1990.0,28.0,24.0,2113.0,9.0,6.0,0.0,0.0,1.0,0.0
550,22,Abdul,Rwatubyaye,rw RWA,DF,Sporting Kansas City,22.0,1996.0,2.0,1.0,165.0,0.0,0.0,0.0,0.0,1.0,0.0
551,15,Marc,Rzatkowski,de GER,"MF,FW",New York Red Bulls,28.0,1990.0,28.0,26.0,2315.0,2.0,3.0,0.0,0.0,4.0,0.0
552,12,Bacary,Sagna,fr FRA,DF,Montreal Impact,35.0,1983.0,26.0,25.0,2179.0,1.0,2.0,0.0,0.0,7.0,1.0
553,6,Kenny,Saief,us USA,"FW,MF",FC Cincinnati,25.0,1993.0,9.0,6.0,566.0,1.0,2.0,0.0,0.0,0.0,0.0
554,8,Michael,Salazar,bz BLZ,"FW,MF",Houston Dynamo,26.0,1992.0,7.0,1.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
555,20,Shea,Salinas,us USA,"MF,DF",San Jose Earthquakes,32.0,1986.0,28.0,12.0,1345.0,6.0,3.0,0.0,0.0,3.0,0.0
556,22,Dániel,Sallói,hu HUN,"FW,MF",Sporting Kansas City,22.0,1996.0,28.0,16.0,1545.0,1.0,1.0,0.0,1.0,1.0,1.0
557,22,Ilie,Sánchez,es ESP,MF,Sporting Kansas City,28.0,1990.0,32.0,27.0,2510.0,2.0,4.0,1.0,1.0,7.0,1.0
