,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
70,22,Matt,Besler,us USA,DF,Sporting Kansas City,31.0,1987.0,27.0,25.0,2112.0,0.0,0.0,0.0,0.0,4.0,1.0
71,19,Nick,Besler,us USA,MF,Real Salt Lake,25.0,1993.0,17.0,7.0,734.0,1.0,1.0,0.0,0.0,4.0,0.0
72,15,Vincent,Bezecourt,fr FRA,MF,New York Red Bulls,25.0,1993.0,8.0,7.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0
73,9,David,Bingham,us USA,GK,LA Galaxy,29.0,1989.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,1.0,0.0
74,5,Steve,Birnbaum,us USA,DF,DC United,28.0,1991.0,34.0,34.0,3031.0,1.0,0.0,0.0,0.0,5.0,0.0
75,8,José,Bizama,cl CHI,DF,Houston Dynamo,24.0,1994.0,5.0,4.0,354.0,0.0,0.0,0.0,0.0,1.0,0.0
76,10,Tristan,Blackmon,us USA,DF,LAFC,22.0,1996.0,18.0,15.0,1378.0,1.0,4.0,0.0,0.0,3.0,0.0
78,17,Andre,Blake,jm JAM,GK,Philadelphia Union,28.0,1990.0,26.0,26.0,2303.0,0.0,0.0,0.0,0.0,1.0,0.0
79,18,Sebastián,Blanco,ar ARG,"FW,MF",Portland Timbers,30.0,1988.0,30.0,28.0,2507.0,6.0,10.0,0.0,0.0,8.0,0.0
80,10,Latif,Blessing,gh GHA,MF,LAFC,22.0,1996.0,34.0,29.0,2691.0,6.0,3.0,0.0,0.0,7.0,0.0
81,3,Johan,Blomberg,se SWE,"MF,FW",Colorado Rapids,31.0,1987.0,3.0,1.0,88.0,0.0,0.0,0.0,0.0,2.0,1.0
82,9,Emmanuel,Boateng,gh GHA,"FW,MF",LA Galaxy,25.0,1994.0,21.0,7.0,887.0,1.0,0.0,0.0,0.0,1.0,0.0
83,5,Emmanuel,Boateng,gh GHA,"FW,MF",DC United,25.0,1994.0,3.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
84,6,Corben,Bone,us USA,"MF,FW",FC Cincinnati,30.0,1988.0,6.0,2.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
85,23,Alex,Bono,us USA,GK,Toronto FC,24.0,1994.0,7.0,6.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2,Jonathan,Bornstein,us USA,DF,Chicago Fire,34.0,1984.0,11.0,11.0,911.0,0.0,0.0,0.0,0.0,1.0,0.0
87,13,Gustavo,Bou,ar ARG,"FW,MF",New England Revolution,28.0,1990.0,14.0,13.0,1152.0,9.0,1.0,0.0,0.0,1.0,0.0
88,11,Michael,Boxall,nz NZL,DF,Minnesota United,30.0,1988.0,29.0,29.0,2576.0,2.0,0.0,0.0,0.0,3.0,0.0
89,23,Terrence,Boyd,us USA,"FW,MF",Toronto FC,27.0,1991.0,11.0,3.0,345.0,0.0,0.0,0.0,0.0,1.0,0.0
90,23,Michael,Bradley,us USA,MF,Toronto FC,31.0,1987.0,27.0,26.0,2373.0,3.0,1.0,0.0,0.0,4.0,0.0
91,12,Zachary,Brault-Guillard,ca CAN,DF,Montreal Impact,20.0,1998.0,13.0,9.0,874.0,0.0,1.0,0.0,0.0,1.0,0.0
92,7,Bressan,,br BRA,DF,FC Dallas,26.0,1993.0,18.0,12.0,1120.0,1.0,1.0,0.0,0.0,1.0,0.0
93,10,Shaft,Brewer,us USA,DF,LAFC,19.0,1999.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
94,5,Frédéric,Brillant,fr FRA,DF,DC United,33.0,1985.0,34.0,33.0,2959.0,2.0,1.0,0.0,0.0,5.0,0.0
95,2,Brandt,Bronico,us USA,"MF,DF",Chicago Fire,23.0,1995.0,29.0,20.0,1866.0,1.0,2.0,0.0,0.0,2.0,0.0
96,12,Omar,Browne,pa PAN,"FW,MF",Montreal Impact,24.0,1994.0,10.0,5.0,564.0,2.0,1.0,0.0,0.0,1.0,0.0
97,21,Will,Bruin,us USA,FW,Seattle Sounders FC,29.0,1989.0,9.0,4.0,429.0,2.0,1.0,0.0,0.0,1.0,0.0
98,13,Tajon,Buchanan,ca CAN,MF,New England Revolution,19.0,1999.0,10.0,4.0,392.0,0.0,2.0,0.0,0.0,0.0,0.0
99,15,Rece,Buckmaster,us USA,DF,New York Red Bulls,22.0,1996.0,6.0,6.0,540.0,0.0,0.0,0.0,0.0,1.0,0.0
100,13,Teal,Bunbury,us USA,"FW,MF",New England Revolution,28.0,1990.0,32.0,25.0,2189.0,6.0,2.0,0.0,0.0,2.0,0.0
101,17,Cory,Burke,jm JAM,FW,Philadelphia Union,27.0,1991.0,7.0,5.0,490.0,2.0,0.0,0.0,0.0,2.0,0.0
102,12,Evan,Bush,us USA,GK,Montreal Impact,32.0,1986.0,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,3.0,0.0
104,22,Gianluca,Busio,us USA,MF,Sporting Kansas City,16.0,2002.0,22.0,10.0,928.0,3.0,1.0,0.0,0.0,1.0,0.0
105,21,Handwalla,Bwana,ae UAE,FW,Seattle Sounders FC,21.0,1997.0,15.0,6.0,572.0,1.0,1.0,0.0,0.0,1.0,0.0
106,13,Brandon,Bye,us USA,DF,New England Revolution,23.0,1995.0,30.0,30.0,2655.0,2.0,2.0,0.0,0.0,6.0,1.0
107,12,Víctor,Cabrera,ar ARG,DF,Montreal Impact,25.0,1993.0,16.0,13.0,1180.0,0.0,0.0,0.0,0.0,2.0,0.0
108,13,Luís,Caicedo,co COL,MF,New England Revolution,22.0,1996.0,31.0,27.0,2354.0,0.0,0.0,1.0,1.0,5.0,0.0
109,13,Scott,Caldwell,us USA,MF,New England Revolution,27.0,1991.0,20.0,12.0,1082.0,0.0,0.0,0.0,0.0,2.0,0.0
110,14,Alexander,Callens,pe PER,DF,New York City FC,26.0,1992.0,24.0,24.0,2160.0,0.0,0.0,0.0,0.0,3.0,0.0
111,20,Eric,Calvillo,us USA,"MF,DF",San Jose Earthquakes,21.0,1998.0,2.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2,Francisco,Calvo,cr CRC,DF,Chicago Fire,26.0,1992.0,23.0,21.0,1936.0,3.0,1.0,0.0,0.0,4.0,0.0
113,11,Francisco,Calvo,cr CRC,DF,Minnesota United,26.0,1992.0,7.0,7.0,629.0,1.0,0.0,0.0,0.0,4.0,1.0
114,12,Rudy,Camacho,fr FRA,DF,Montreal Impact,27.0,1991.0,17.0,16.0,1463.0,1.0,0.0,0.0,0.0,4.0,0.0
115,21,Jonathan,Campbell,us USA,DF,Seattle Sounders FC,25.0,1993.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
116,2,Diego,Campos,cr CRC,DF,Chicago Fire,23.0,1995.0,10.0,5.0,440.0,0.0,0.0,0.0,0.0,1.0,0.0
117,7,Reggie,Cannon,us USA,DF,FC Dallas,20.0,1998.0,28.0,26.0,2268.0,1.0,1.0,0.0,0.0,7.0,0.0
118,5,Russell,Canouse,us USA,"MF,DF",DC United,23.0,1995.0,26.0,25.0,2146.0,0.0,0.0,0.0,0.0,5.0,0.0
119,1,Andrew,Carleton,us USA,"MF,FW",Atlanta United,18.0,2000.0,3.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
120,9,Servando,Carrasco,us USA,MF,LA Galaxy,30.0,1988.0,16.0,3.0,396.0,0.0,0.0,0.0,0.0,2.0,0.0
121,18,Julio,Cascante,cr CRC,DF,Portland Timbers,25.0,1993.0,22.0,16.0,1442.0,0.0,1.0,0.0,0.0,4.0,1.0
122,15,Cristian,Cásseres,ve VEN,MF,New York Red Bulls,19.0,2000.0,23.0,21.0,1797.0,3.0,3.0,0.0,0.0,5.0,0.0
123,14,Valentín,Castellanos,ar ARG,FW,New York City FC,20.0,1998.0,30.0,23.0,2048.0,11.0,6.0,0.0,0.0,7.0,0.0
124,13,Edgar,Castillo,us USA,DF,New England Revolution,32.0,1986.0,20.0,20.0,1689.0,0.0,5.0,0.0,0.0,2.0,0.0
125,21,Emanuel,Cecchini,ar ARG,MF,Seattle Sounders FC,22.0,1996.0,4.0,1.0,157.0,0.0,0.0,0.0,0.0,1.0,0.0
126,8,Darwin,Cerén,sv SLV,MF,Houston Dynamo,29.0,1989.0,13.0,5.0,536.0,1.0,0.0,0.0,0.0,1.0,0.0
127,7,Edwin,Cerrillo,us USA,MF,FC Dallas,18.0,2000.0,12.0,11.0,916.0,0.0,0.0,0.0,0.0,2.0,0.0
128,11,Thomás,Chacón,uy URU,FW,Minnesota United,18.0,2000.0,2.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
130,14,Maxime,Chanot,lu LUX,DF,New York City FC,29.0,1989.0,31.0,31.0,2790.0,0.0,0.0,0.0,0.0,11.0,0.0
131,23,Jay,Chapman,ca CAN,"MF,FW",Toronto FC,25.0,1994.0,17.0,5.0,529.0,2.0,2.0,0.0,0.0,1.0,0.0
132,18,Diego,Chará,co COL,MF,Portland Timbers,32.0,1986.0,30.0,29.0,2606.0,0.0,1.0,0.0,0.0,12.0,1.0
133,24,Michaell,Chirinos,hn HON,"MF,FW",Vancouver Whitecaps,23.0,1995.0,7.0,4.0,412.0,1.0,1.0,0.0,0.0,2.0,0.0
134,12,Mathieu,Choiniere,ca CAN,"FW,MF",Montreal Impact,19.0,1999.0,17.0,6.0,685.0,0.0,1.0,0.0,0.0,1.0,0.0
135,23,Laurent,Ciman,be BEL,DF,Toronto FC,33.0,1985.0,17.0,14.0,1264.0,0.0,0.0,0.0,0.0,3.0,0.0
136,4,Ricardo,Clark,us USA,MF,Columbus Crew,35.0,1983.0,7.0,4.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
137,18,Steve,Clark,us USA,GK,Portland Timbers,32.0,1986.0,24.0,24.0,2160.0,0.0,0.0,0.0,0.0,2.0,0.0
138,17,Aurélien,Collin,fr FRA,DF,Philadelphia Union,32.0,1986.0,6.0,6.0,529.0,0.0,0.0,0.0,0.0,2.0,0.0
139,16,Josué,Colmán,py PAR,"FW,MF",Orlando City SC,20.0,1998.0,8.0,1.0,160.0,0.0,1.0,0.0,0.0,0.0,0.0
140,18,Tomás,Conechny,ar ARG,"FW,MF",Portland Timbers,20.0,1998.0,16.0,2.0,356.0,1.0,2.0,0.0,0.0,2.0,0.0
141,24,Derek,Cornelius,ca CAN,DF,Vancouver Whitecaps,21.0,1997.0,17.0,16.0,1425.0,1.0,0.0,0.0,0.0,4.0,0.0
