,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
486,469,Donovan Pines,us USA,DF,D.C. United,20,1998,10,9,785,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.3,0.04,0.03,0.07,0.04,0.07,Matches
487,470,Joao Plata,ec ECU,"FW,MF",Real Salt Lake,26,1992,17,2,317,1,0,1,1,0,0,0.28,0.00,0.28,0.00,0.00,1.5,0.8,0.3,0.44,0.09,0.53,0.22,0.32,Matches
488,471,Florentin Pogba,gn GUI,DF,Atlanta,28,1990,13,8,783,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.05,0.01,0.05,Matches
489,472,Diego Polenta,uy URU,DF,LA Galaxy,26,1992,28,28,2519,1,2,0,0,10,1,0.04,0.07,0.11,0.04,0.11,1.0,1.0,2.3,0.04,0.08,0.12,0.04,0.12,Matches
490,473,Andy Polo,pe PER,"MF,FW",Portland,24,1994,19,12,1047,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.8,0.8,1.2,0.07,0.11,0.17,0.07,0.17,Matches
491,474,Paxton Pomykal,us USA,MF,FC Dallas,19,1999,25,20,1878,2,2,0,0,4,0,0.10,0.10,0.19,0.10,0.19,2.4,2.4,3.2,0.11,0.15,0.26,0.11,0.26,Matches
492,475,Chris Pontius,us USA,FW,LA Galaxy,31,1987,18,6,703,2,2,0,0,0,0,0.26,0.26,0.51,0.26,0.51,2.5,2.5,2.0,0.33,0.25,0.58,0.33,0.58,Matches
493,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
494,476,Justin Portillo,us USA,MF,Real Salt Lake,26,1992,4,2,194,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
495,477,Alvas Powell,jm JAM,DF,FC Cincinnati,24,1994,13,10,969,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.04,0.04,0.09,0.04,0.09,Matches
496,478,Dillon Powers,us USA,MF,Orlando City,27,1991,7,7,619,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
497,479,Alejandro Pozuelo,es ESP,"MF,FW",Toronto FC,27,1991,30,28,2518,12,7,5,6,5,1,0.43,0.25,0.68,0.25,0.50,9.0,4.4,7.4,0.32,0.26,0.58,0.16,0.42,Matches
498,480,Jack Price,eng ENG,MF,Colorado,26,1992,27,25,2226,1,10,0,0,9,1,0.04,0.40,0.44,0.04,0.44,0.2,0.2,6.0,0.01,0.24,0.25,0.01,0.25,Matches
499,481,Kacper Przybyłko,pl POL,FW,Philadelphia,25,1993,26,25,2241,15,4,0,1,5,0,0.60,0.16,0.76,0.60,0.76,12.3,11.5,3.4,0.49,0.13,0.63,0.46,0.60,Matches
500,482,Andrew Putna,us USA,GK,Real Salt Lake,24,1994,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
501,483,Valeri Qazaishvili,ge GEO,"FW,MF",San Jose,26,1993,32,24,2094,8,5,0,0,1,0,0.34,0.21,0.56,0.34,0.56,6.9,6.9,2.9,0.30,0.13,0.42,0.30,0.42,Matches
502,484,Darwin Quintero,co COL,"MF,FW",Minnesota,31,1987,30,26,2197,10,5,3,4,5,0,0.41,0.20,0.61,0.29,0.49,11.7,8.6,5.0,0.48,0.21,0.68,0.35,0.56,Matches
503,485,Romell Quioto,hn HON,FW,Houston,27,1991,18,8,796,2,2,1,1,5,1,0.23,0.23,0.45,0.11,0.34,2.3,1.6,2.5,0.26,0.29,0.55,0.18,0.46,Matches
504,486,Jukka Raitala,fi FIN,DF,Montreal,30,1988,26,23,2084,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.00,0.02,0.02,0.00,0.02,Matches
505,487,Christian Ramirez,us USA,FW,Los Angeles FC,27,1991,17,13,948,4,2,0,0,0,0,0.38,0.19,0.57,0.38,0.57,5.8,5.8,1.3,0.55,0.13,0.68,0.55,0.68,Matches
506,488,Christian Ramirez,us USA,"FW,MF",Houston,27,1991,10,7,674,5,1,0,0,0,0,0.67,0.13,0.80,0.67,0.80,3.8,3.8,0.8,0.50,0.11,0.61,0.50,0.61,Matches
507,489,Greg Ranjitsingh,tt TRI,GK,Orlando City,25,1993,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
508,490,Matthew Real,us USA,"DF,MF",Philadelphia,19,1999,3,1,68,0,1,0,0,1,0,0.00,1.32,1.32,0.00,1.32,0.1,0.1,0.2,0.19,0.29,0.48,0.19,0.48,Matches
509,491,Eric Remedi,ar ARG,MF,Atlanta,23,1995,28,25,2050,0,1,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,1.0,0.02,0.05,0.07,0.02,0.07,Matches
510,492,Justin Rennicks,us USA,FW,New England,19,1999,2,1,105,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.44,0.02,0.46,0.44,0.46,Matches
511,493,Yordy Reyna,pe PER,"FW,MF",Vancouver,25,1993,25,22,1988,7,1,0,1,5,0,0.32,0.05,0.36,0.32,0.36,4.6,3.9,2.8,0.21,0.13,0.34,0.18,0.30,Matches
512,494,Bryan Reynolds,us USA,"FW,DF",FC Dallas,17,2001,10,1,119,0,1,0,0,0,0,0.00,0.76,0.76,0.00,0.76,0.1,0.1,0.3,0.04,0.20,0.24,0.04,0.24,Matches
513,495,Spencer Richey,us USA,GK,FC Cincinnati,26,1992,19,19,1710,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
514,496,Tosaint Ricketts,ca CAN,FW,Vancouver,31,1987,8,6,479,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,2.4,2.4,0.1,0.44,0.03,0.47,0.44,0.47,Matches
515,497,Nick Rimando,us USA,GK,Real Salt Lake,39,1979,29,29,2610,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
516,498,Alexander Ring,fi FIN,MF,NYCFC,27,1991,31,31,2790,4,4,0,0,12,0,0.13,0.13,0.26,0.13,0.26,3.2,3.2,2.4,0.11,0.08,0.19,0.11,0.19,Matches
517,499,Andrés Ríos,ar ARG,"MF,FW",San Jose,29,1989,10,1,270,1,0,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.6,0.6,0.7,0.20,0.23,0.43,0.20,0.43,Matches
518,500,Thomas Roberts,us USA,"MF,FW",FC Dallas,17,2001,6,3,237,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.03,0.13,0.16,0.03,0.16,Matches
519,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
520,501,Robinho,br BRA,FW,Columbus,24,1995,19,13,1112,0,2,0,0,0,0,0.00,0.16,0.16,0.00,0.16,2.2,2.2,1.5,0.17,0.12,0.30,0.17,0.30,Matches
521,502,Robinho,br BRA,FW,Orlando City,24,1995,6,3,234,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.14,0.04,0.18,0.14,0.18,Matches
522,503,Jalen Robinson,us USA,DF,D.C. United,24,1994,10,5,414,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
523,504,Miles Robinson,us USA,DF,Atlanta,21,1997,34,33,2979,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,0.04,0.00,0.04,0.04,0.04,Matches
524,505,Luis Robles,us USA,GK,NY Red Bulls,34,1984,33,33,2970,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
525,506,Tony Rocha,bz BLZ,"MF,DF",NYCFC,25,1993,17,9,876,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
526,507,Angelo Rodríguez,co COL,FW,Minnesota,29,1989,28,21,1745,5,1,1,1,2,0,0.26,0.05,0.31,0.21,0.26,10.1,9.3,1.8,0.52,0.09,0.61,0.48,0.57,Matches
527,508,Brian Rodríguez,uy URU,FW,Los Angeles FC,18,2000,7,5,384,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.9,0.32,0.20,0.53,0.32,0.53,Matches
528,509,Lucas Rodríguez,ar ARG,"FW,MF",D.C. United,21,1997,33,31,2699,6,3,0,0,5,0,0.20,0.10,0.30,0.20,0.30,3.4,3.4,1.3,0.11,0.04,0.16,0.11,0.16,Matches
529,510,Memo Rodriguez,us USA,"FW,MF",Houston,23,1995,26,16,1387,7,2,0,0,3,0,0.45,0.13,0.58,0.45,0.58,6.2,6.2,2.3,0.41,0.15,0.55,0.41,0.55,Matches
530,511,Víctor Rodríguez,es ESP,"FW,MF",Seattle,29,1989,17,14,1117,2,3,1,1,1,0,0.16,0.24,0.40,0.08,0.32,3.1,2.3,3.0,0.25,0.24,0.49,0.19,0.43,Matches
531,512,Alex Roldan,us USA,"FW,MF",Seattle,22,1996,9,5,443,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.05,0.01,0.06,0.05,0.06,Matches
532,513,Cristian Roldan,us USA,"MF,FW",Seattle,23,1995,29,29,2537,6,3,0,0,4,1,0.21,0.11,0.32,0.21,0.32,3.5,3.5,2.9,0.12,0.10,0.23,0.12,0.23,Matches
533,514,David Romney,us USA,DF,LA Galaxy,25,1993,12,10,928,0,1,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,0.5,0.08,0.05,0.12,0.08,0.12,Matches
534,515,Eloy Room,cw CUW,GK,Columbus,29,1989,12,12,1080,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
535,516,Wayne Rooney,eng ENG,FW,D.C. United,33,1985,28,27,2313,11,7,4,4,5,2,0.43,0.27,0.70,0.27,0.54,11.2,8.1,6.2,0.43,0.24,0.68,0.32,0.56,Matches
536,517,Andy Rose,au AUS,"MF,DF",Vancouver,28,1990,24,20,1851,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.6,1.6,0.0,0.08,0.00,0.08,0.08,0.08,Matches
537,518,Oriol Rosell,es ESP,MF,Orlando City,26,1992,20,16,1466,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.03,0.02,0.05,0.03,0.05,Matches
538,519,Keegan Rosenberry,us USA,DF,Colorado,25,1993,34,34,3060,1,3,0,0,3,0,0.03,0.09,0.12,0.03,0.12,0.9,0.9,2.7,0.03,0.08,0.11,0.03,0.11,Matches
539,520,Diego Rossi,uy URU,FW,Los Angeles FC,20,1998,34,33,2891,16,6,0,0,2,0,0.50,0.19,0.68,0.50,0.68,12.2,12.2,7.8,0.38,0.24,0.62,0.38,0.62,Matches
540,521,Brian Rowe,us USA,GK,Orlando City,30,1988,32,32,2880,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
541,522,Kelyn Rowe,us USA,"FW,MF",Sporting KC,27,1991,14,7,693,0,1,0,0,2,0,0.00,0.13,0.13,0.00,0.13,2.0,2.0,0.4,0.26,0.05,0.31,0.26,0.31,Matches
542,523,Kelyn Rowe,us USA,MF,Real Salt Lake,27,1991,4,2,181,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
543,524,Daniel Royer,at AUT,FW,NY Red Bulls,28,1990,31,26,2314,11,6,4,5,1,0,0.43,0.23,0.66,0.27,0.51,14.2,10.4,4.8,0.55,0.19,0.74,0.40,0.59,Matches
544,525,Ruan,br BRA,DF,Orlando City,23,1995,25,23,2097,0,4,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,4.4,0.04,0.19,0.22,0.04,0.22,Matches
545,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
546,526,Diego Rubio,cl CHI,"MF,FW",Colorado,25,1993,26,25,2054,11,4,0,0,10,1,0.48,0.18,0.66,0.48,0.66,6.2,6.2,3.3,0.27,0.15,0.42,0.27,0.42,Matches
547,527,Raúl Ruidíaz,pe PER,FW,Seattle,28,1990,22,20,1793,11,2,0,0,0,0,0.55,0.10,0.65,0.55,0.65,11.9,11.9,2.6,0.60,0.13,0.73,0.60,0.73,Matches
548,528,Albert Rusnák,sk SVK,"MF,FW",Real Salt Lake,24,1994,29,28,2450,10,3,4,5,2,0,0.37,0.11,0.48,0.22,0.33,8.6,4.8,4.3,0.32,0.16,0.47,0.18,0.33,Matches
549,529,Johnny Russell,sco SCO,"FW,MF",Sporting KC,28,1990,28,24,2113,9,6,0,0,1,0,0.38,0.26,0.64,0.38,0.64,6.1,6.1,7.2,0.26,0.31,0.57,0.26,0.57,Matches
550,530,Abdul Rwatubyaye,rw RWA,DF,Sporting KC,22,1996,2,1,165,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
551,531,Marc Rzatkowski,de GER,"MF,FW",NY Red Bulls,28,1990,28,26,2315,2,3,0,0,4,0,0.08,0.12,0.19,0.08,0.19,2.2,2.2,4.8,0.09,0.19,0.27,0.09,0.27,Matches
552,532,Bacary Sagna,fr FRA,DF,Montreal,35,1983,26,25,2179,1,2,0,0,7,1,0.04,0.08,0.12,0.04,0.12,0.7,0.7,2.3,0.03,0.09,0.12,0.03,0.12,Matches
553,533,Kenny Saief,us USA,"FW,MF",FC Cincinnati,25,1993,9,6,566,1,2,0,0,0,0,0.16,0.32,0.48,0.16,0.48,1.0,1.0,1.8,0.16,0.28,0.44,0.16,0.44,Matches
554,534,Michael Salazar,bz BLZ,"FW,MF",Houston,26,1992,7,1,159,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.01,0.08,0.07,0.08,Matches
555,535,Shea Salinas,us USA,"MF,DF",San Jose,32,1986,28,12,1345,6,3,0,0,3,0,0.40,0.20,0.60,0.40,0.60,4.9,4.9,3.3,0.33,0.22,0.55,0.33,0.55,Matches
556,536,Dániel Sallói,hu HUN,"FW,MF",Sporting KC,22,1996,28,16,1545,1,1,0,1,1,1,0.06,0.06,0.12,0.06,0.12,6.2,5.5,2.0,0.36,0.12,0.48,0.32,0.44,Matches
557,537,Ilie Sánchez,es ESP,MF,Sporting KC,28,1990,32,27,2510,2,4,1,1,7,1,0.07,0.14,0.22,0.04,0.18,2.2,1.5,2.2,0.08,0.08,0.16,0.05,0.13,Matches
558,538,James Sands,us USA,"DF,MF",NYCFC,18,2000,19,18,1485,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
559,539,Lamine Sané,sn SEN,DF,Orlando City,31,1987,26,25,2275,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.02,0.01,0.03,0.02,0.03,Matches
560,540,Harold Santiago Mosquera,co COL,"FW,MF",FC Dallas,23,1995,23,12,1173,3,1,0,0,0,0,0.23,0.08,0.31,0.23,0.31,2.6,2.6,1.7,0.20,0.13,0.33,0.20,0.33,Matches
561,541,Sergio Santos Gomes,br BRA,"FW,MF",Philadelphia,24,1994,17,5,626,4,1,0,0,2,0,0.58,0.14,0.72,0.58,0.72,3.8,3.8,0.4,0.55,0.06,0.60,0.55,0.60,Matches
562,542,Pedro Santos,pt POR,"FW,MF",Columbus,30,1988,33,30,2761,11,5,1,1,7,0,0.36,0.16,0.52,0.33,0.49,5.7,5.0,6.0,0.19,0.19,0.38,0.16,0.36,Matches
563,543,C.J. Sapong,us USA,FW,Chicago,30,1988,32,29,2547,13,1,0,0,3,0,0.46,0.04,0.49,0.46,0.49,10.9,10.9,1.9,0.40,0.07,0.47,0.40,0.47,Matches
564,544,Sebastián Saucedo,us USA,"FW,MF",Real Salt Lake,22,1997,26,13,1192,2,4,0,0,6,0,0.15,0.30,0.45,0.15,0.45,1.6,1.6,1.9,0.12,0.15,0.27,0.12,0.27,Matches
565,545,Gastón Sauro,ar ARG,DF,Columbus,28,1990,15,15,1284,2,0,0,0,4,0,0.14,0.00,0.14,0.14,0.14,0.8,0.8,0.7,0.05,0.05,0.10,0.05,0.10,Matches
566,546,Jefferson Savarino,ve VEN,"FW,MF",Real Salt Lake,22,1996,28,27,2315,8,5,0,0,1,1,0.31,0.19,0.51,0.31,0.51,5.3,5.3,3.1,0.21,0.12,0.33,0.21,0.33,Matches
567,547,Tate Schmitt,us USA,FW,Real Salt Lake,21,1997,6,1,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
568,548,Rasmus Schüller,fi FIN,"MF,FW",Minnesota,27,1991,15,11,921,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,0.09,0.05,0.14,0.09,0.14,Matches
569,549,Bastian Schweinsteiger,de GER,"DF,MF",Chicago,34,1984,30,30,2675,1,3,0,0,10,0,0.03,0.10,0.13,0.03,0.13,1.1,1.1,1.6,0.04,0.06,0.09,0.04,0.09,Matches
570,550,Eddie Segura,co COL,DF,Los Angeles FC,21,1997,34,33,2955,1,0,0,0,1,0,0.03,0.00,0.03,0.03,0.03,1.6,1.6,0.1,0.05,0.00,0.05,0.05,0.05,Matches
571,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
572,551,Ulises Segura,cr CRC,"FW,DF",D.C. United,25,1993,33,19,1791,3,2,0,0,1,0,0.15,0.10,0.25,0.15,0.25,2.6,2.6,2.5,0.13,0.12,0.26,0.13,0.26,Matches
573,552,Chris Seitz,us USA,GK,D.C. United,31,1987,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
